"CPATH" "SHAP" "LIME" "CPI"
"1" 1 1 1 NA
"2" 0.8 1 0.8 NA
"3" 1 0.8 0.4 NA
"4" 0.8 1 0.2 NA
"5" 1 0.8 0.4 NA
"6" 0.8 0.8 0.8 NA
"7" 1 1 0.8 NA
"8" 1 0.8 0.8 NA
"9" 1 0.2 1 NA
"10" 1 1 0.4 NA
"11" 0.8 0.4 0.2 NA
"12" 0.8 1 1 NA
"13" 1 0.8 0.8 NA
"14" 1 0.8 0.8 NA
"15" 1 1 0 NA
"16" 0.8 1 0.2 NA
"17" 0.8 1 1 NA
"18" 1 1 0.8 NA
"19" 1 1 0.8 NA
"20" 1 1 0.2 NA
"21" 1 1 0.8 NA
"22" 1 0.8 0.4 NA
"23" 1 1 1 NA
"24" 1 1 0.8 NA
"25" 1 1 0.4 NA
"26" 1 1 1 NA
"27" 0.8 0.8 0.2 NA
"28" 1 1 0.8 NA
"29" 0.8 0.8 0.6 NA
"30" 1 0.8 0.4 NA
"31" 0.4 0.8 0.2 NA
"32" 1 1 1 NA
"33" 1 1 1 NA
"34" 0.4 0.8 0.8 NA
"35" 0.8 1 0.8 NA
"36" 1 1 0.8 NA
"37" 1 1 0.4 NA
"38" 1 0.8 1 NA
"39" 1 1 0.8 NA
"40" 1 1 1 NA
"41" 0.8 1 0.8 NA
"42" 1 1 0.8 NA
"43" 1 1 0.8 NA
"44" 0.8 0.4 0.4 NA
"45" 1 0.8 0.8 NA
"46" 1 1 1 NA
"47" 1 0.8 0.2 NA
"48" 1 0.8 1 NA
"49" 1 1 0.4 NA
"50" 1 0.8 0.4 NA
"51" 0.8 1 0.2 NA
"52" 0.6 0.8 0.8 NA
"53" 1 0.8 0.4 NA
"54" 1 0.8 0.8 NA
"55" 1 1 0.8 NA
"56" 0.8 1 0.8 NA
"57" 1 0.4 0.8 NA
"58" 1 0.8 0.4 NA
"59" 0.8 1 0.8 NA
"60" 0.8 1 1 NA
"61" 1 1 1 NA
"62" 0.8 1 1 NA
"63" 0.8 1 0.4 NA
"64" 1 1 0.8 NA
"65" 0.8 0.8 1 NA
"66" 1 0.8 0.4 NA
"67" 1 0.4 0.4 NA
"68" 0.8 0.4 0.8 NA
"69" 0.8 0.8 0.8 NA
"70" 1 1 0.8 NA
"71" 0.8 1 0.8 NA
"72" 0.8 0.8 0.4 NA
"73" 1 1 1 NA
"74" 0.8 1 0.2 NA
"75" 1 1 1 NA
"76" 1 0.8 0.8 NA
"77" 1 1 1 NA
"78" 0.8 1 0.8 NA
"79" 1 0.8 0.8 NA
"80" 1 1 0.4 NA
"81" 0.8 1 1 NA
"82" 0.8 0.8 0.8 NA
"83" 0.8 1 0.8 NA
"84" 0.8 1 0.8 NA
"85" 0.8 1 1 NA
"86" 1 0.8 1 NA
"87" 0.8 1 1 NA
"88" 1 0.8 0.4 NA
"89" 1 1 0.8 NA
"90" 1 0.8 0.8 NA
"91" 1 1 1 NA
"92" 0.8 0.8 0.8 NA
"93" 1 0.8 0.8 NA
"94" 1 1 0.8 NA
"95" 0.8 0.6 0.4 NA
"96" 0.6 0.8 0.8 NA
"97" 1 0.8 0.8 NA
"98" 1 0.8 0.2 NA
"99" 1 0.8 1 NA
"100" 1 1 0.4 NA
