"LIME" "CPATH" "CPATH_min"
"1" 0.928571428571429 0.833333333333333 0.904761904761905
"2" 0.761904761904762 0.928571428571429 0.761904761904762
"3" 0.857142857142857 0.833333333333333 0.658694444052292
"4" 0.833333333333333 0.833333333333333 0.838338383339281
"5" 0.928571428571429 0.97007727214974 0.738095238095238
"6" 0.785714285714286 0.761904761904762 0.595238095238095
"7" 0.80952380952381 0.714285714285714 0.946124746911475
"8" 0.928571428571429 0.928571428571429 0.619047619047619
"9" 0.738095238095238 0.928571428571429 0.928571428571429
"10" 0.928571428571429 0.904761904761905 0.571428571428572
"11" 0.928571428571429 0.976190476190476 0.80952380952381
"12" 0.714285714285714 0.833333333333333 0.857142857142857
"13" 0.833333333333333 0.754504545005353 0.491026767384436
"14" 0.904761904761905 0.857142857142857 0.785714285714286
"15" 0.857142857142857 0.833333333333333 0.904761904761905
"16" 0.833333333333333 0.886243433815812 0.790433332862751
"17" 0.904761904761905 0.761904761904762 0.714285714285714
"18" 0.857142857142857 0.880952380952381 0.785714285714286
"19" 0.928571428571429 0.833333333333333 0.547619047619048
"20" 0.880952380952381 0.833333333333333 0.547619047619048
"21" 0.857142857142857 0.952380952380953 0.904761904761905
"22" 0.928571428571429 0.880952380952381 0.80952380952381
"23" 0.857142857142857 0.785714285714286 0.714285714285714
"24" 0.738095238095238 0.880952380952381 0.619047619047619
"25" 0.833333333333333 0.857142857142857 0.682646969290558
"26" 0.904761904761905 0.952380952380953 0.642857142857143
"27" 0.690476190476191 0.928571428571429 0.642857142857143
"28" 0.738095238095238 0.880952380952381 0.928571428571429
"29" 0.666666666666667 0.934148484292342 0.928571428571429
"30" 0.738095238095238 0.952380952380953 0.857142857142857
