"CPATH" "SHAP" "LIME" "CPI"
"1" 0.8 1 0.8 NA
"2" 0.8 0.8 0.8 NA
"3" 0.8 0.8 0.8 NA
"4" 1 1 0.2 NA
"5" 1 0.8 1 NA
"6" 1 1 1 NA
"7" 0.8 0.8 1 NA
"8" 1 1 1 NA
"9" 1 0.8 0.8 NA
"10" 0.8 1 1 NA
"11" 0.4 1 0.8 NA
"12" 1 1 0.8 NA
"13" 0.8 0.8 0.8 NA
"14" 0.8 0.8 0.8 NA
"15" 1 1 1 NA
"16" 1 1 1 NA
"17" 0.8 0.8 0.8 NA
"18" 0.8 1 1 NA
"19" 1 0.8 1 NA
"20" 0.8 0.8 1 NA
"21" 1 0.8 1 NA
"22" 0.8 1 1 NA
"23" 1 0.8 1 NA
"24" 1 1 0.8 NA
"25" 0.4 1 1 NA
"26" 1 0.8 0.8 NA
"27" 1 0.8 1 NA
"28" 0.8 1 1 NA
"29" 1 1 1 NA
"30" 0.8 0.8 1 NA
"31" 1 1 0.8 NA
"32" 1 1 1 NA
"33" 1 0.8 0.8 NA
"34" 0.4 0.8 1 NA
"35" 1 0.8 0.8 NA
"36" 1 1 1 NA
"37" 0.8 0.8 1 NA
"38" 1 1 1 NA
"39" 0.8 0.8 0.8 NA
"40" 1 1 1 NA
"41" 0.8 0.8 1 NA
"42" 1 0.8 1 NA
"43" 1 0.8 1 NA
"44" 0.8 1 0.8 NA
"45" 0.8 1 1 NA
"46" 1 1 1 NA
"47" 1 1 1 NA
"48" 0.8 0.4 0.8 NA
"49" 1 1 1 NA
"50" 1 1 1 NA
"51" 0.8 1 1 NA
"52" 1 0.8 1 NA
"53" 1 1 0.8 NA
"54" 1 1 1 NA
"55" 1 1 0.8 NA
"56" 1 1 1 NA
"57" 0.8 1 1 NA
"58" 0.8 0.8 1 NA
"59" 0.8 1 1 NA
"60" 1 1 1 NA
"61" 1 1 1 NA
"62" 0.8 0.8 0.8 NA
"63" 1 0.8 0.8 NA
"64" 0.2 1 0.8 NA
"65" 1 1 1 NA
"66" 0.8 1 0.8 NA
"67" 1 1 1 NA
"68" 1 1 1 NA
"69" 0.2 0.8 0.8 NA
"70" 1 1 1 NA
"71" 0.4 1 1 NA
"72" 0.8 1 1 NA
"73" 0.4 1 1 NA
"74" 1 1 0.8 NA
"75" 0.2 0.8 1 NA
"76" 1 1 0.8 NA
"77" 1 1 0.8 NA
"78" 0.8 0.8 1 NA
"79" 1 0.8 0.8 NA
"80" 0.8 1 1 NA
"81" 0.4 0.8 0.8 NA
"82" 1 1 1 NA
"83" 1 1 1 NA
"84" 0.8 0.8 0.8 NA
"85" 1 0.8 1 NA
"86" 1 1 1 NA
"87" 1 0.8 0.8 NA
"88" 0.8 1 1 NA
"89" 1 0.8 1 NA
"90" 1 1 1 NA
"91" 1 1 1 NA
"92" 0.8 1 1 NA
"93" 0.4 0.8 0.8 NA
"94" 1 1 0.8 NA
"95" 1 0.8 0.8 NA
"96" 1 1 0.8 NA
"97" 1 0.8 0.8 NA
"98" 1 0.8 1 NA
"99" 0.8 0.8 1 NA
"100" 0.8 0.8 1 NA
