"CPATH" "SHAP" "LIME" "CPI"
"1" 0.8 0.8 0.8 NA
"2" 1 1 0.8 NA
"3" 0.8 1 0.8 NA
"4" 1 0.8 0.8 NA
"5" 0.8 1 0.2 NA
"6" 1 0.8 1 NA
"7" 1 1 1 NA
"8" 0.8 0.8 0.2 NA
"9" 1 1 1 NA
"10" 0.8 1 0.8 NA
"11" 1 0.8 0.6 NA
"12" 1 0.8 0.8 NA
"13" 1 0.8 0.8 NA
"14" 1 1 0.8 NA
"15" 1 1 1 NA
"16" 0.8 1 1 NA
"17" 1 0.8 0.6 NA
"18" 0.8 0.8 0.8 NA
"19" 1 1 1 NA
"20" 1 1 0.8 NA
"21" 1 1 0.4 NA
"22" 0.8 0.6 1 NA
"23" 1 0.8 1 NA
"24" 1 1 0.8 NA
"25" 0.8 1 0.8 NA
"26" 1 0.8 0.8 NA
"27" 1 1 1 NA
"28" 1 0.8 0.6 NA
"29" 0.8 1 0.8 NA
"30" 1 1 0.8 NA
"31" 0.8 1 1 NA
"32" 1 0.8 1 NA
"33" 0.8 1 0.8 NA
"34" 1 1 1 NA
"35" 1 0.8 0.8 NA
"36" 0.8 1 1 NA
"37" 0.8 0.4 0.8 NA
"38" 1 1 1 NA
"39" 1 0.8 0.6 NA
"40" 1 0.8 1 NA
"41" 1 0.4 1 NA
"42" 0.8 1 1 NA
"43" 1 1 1 NA
"44" 1 0.8 0.8 NA
"45" 1 1 1 NA
"46" 0.2 0.8 0.8 NA
"47" 0.8 0.8 0.6 NA
"48" 0.8 0.8 0.8 NA
"49" 1 0.8 0.8 NA
"50" 1 1 0.8 NA
"51" 1 0.8 0.8 NA
"52" 0.8 1 0.8 NA
"53" 0.8 1 0.8 NA
"54" 1 1 1 NA
"55" 0.8 0.8 -0.4 NA
"56" 0.8 0.8 0.8 NA
"57" 0.6 0.6 0.8 NA
"58" 1 1 1 NA
"59" 1 1 1 NA
"60" 1 1 1 NA
"61" 0.4 1 0.6 NA
"62" 1 0.8 0.8 NA
"63" 0.8 1 0.8 NA
"64" 0.8 0.6 0.8 NA
"65" 0.8 1 0.4 NA
"66" 1 0.8 1 NA
"67" 1 0.8 0.6 NA
"68" 1 1 1 NA
"69" 1 0.8 1 NA
"70" 0.8 0.8 1 NA
"71" 1 0.8 1 NA
"72" 0.8 1 1 NA
"73" 0.2 0.4 0.8 NA
"74" 0.8 0.8 0.8 NA
"75" 1 0.8 0.8 NA
"76" 1 1 0.8 NA
"77" 0.8 0.4 0.4 NA
"78" 0.8 1 0.8 NA
"79" 1 1 1 NA
"80" 1 0.6 1 NA
"81" 0.4 0.8 0.8 NA
"82" 0.4 1 0.4 NA
"83" 0.8 0.8 0.8 NA
"84" 0.6 1 0.6 NA
"85" 1 0.8 1 NA
"86" 1 1 0.8 NA
"87" 1 1 1 NA
"88" 1 1 0.4 NA
"89" 0.8 0.8 1 NA
"90" 1 1 0.8 NA
"91" 1 1 0.8 NA
"92" 0.4 1 0.8 NA
"93" 1 1 0.8 NA
"94" 0.8 1 0.8 NA
"95" 0.4 1 1 NA
"96" 1 1 1 NA
"97" 1 0.8 0.4 NA
"98" 1 1 1 NA
"99" 0.4 0.8 0.4 NA
"100" 1 1 1 NA
