"SHAP_fast" "LIME" "CPATH" "CPATH_min"
"1" NA NA 0.75 NA
"2" NA NA 0.716666666666667 NA
"3" NA NA 0.8 NA
"4" NA NA 0.75 NA
"5" NA NA 0.783333333333333 NA
"6" NA NA 0.8 NA
"7" NA NA 0.85 NA
"8" NA NA 0.7 NA
"9" NA NA 0.6 NA
"10" NA NA 0.816666666666667 NA
"11" NA NA 0.883333333333333 NA
"12" NA NA 0.833333333333333 NA
"13" NA NA 0.883333333333333 NA
"14" NA NA 0.866666666666667 NA
"15" NA NA 0.8 NA
"16" NA NA 0.816666666666667 NA
"17" NA NA 0.833333333333333 NA
"18" NA NA 0.85 NA
"19" NA NA 0.85 NA
"20" NA NA 0.833333333333333 NA
"21" NA NA 0.833333333333333 NA
"22" NA NA 0.766666666666667 NA
"23" NA NA 0.85 NA
"24" NA NA 0.816666666666667 NA
"25" NA NA 0.683333333333333 NA
"26" NA NA 0.783333333333333 NA
"27" NA NA 0.816666666666667 NA
"28" NA NA 0.816666666666667 NA
"29" NA NA 0.816666666666667 NA
"30" NA NA 0.716666666666667 NA
