"LIME" "CPATH" "CPATH_min"
"1" 0.85 0.594147460216563 0.376572333940075
"2" 0.716666666666667 0.7 0.816666666666667
"3" 0.833333333333333 0.8 0.460255074815648
"4" 0.766666666666667 0.661093652917021 0.466666666666667
"5" 0.783333333333333 0.683333333333333 0.903773601456181
"6" 0.733333333333333 0.716666666666667 0.711303297442365
"7" 0.766666666666667 0.466666666666667 0.6
"8" 0.816666666666667 0.594147460216563 0.857173122952338
"9" 0.85 0.666666666666667 0.416666666666667
"10" 0.783333333333333 0.766666666666667 0.833333333333333
"11" 0.833333333333333 0.683333333333333 0.773136542270736
"12" 0.883333333333333 0.753144667880151 0.552306089778777
"13" 0.783333333333333 0.686198475179693 0.783333333333333
"14" 0.8 0.705907277725455 0.466666666666667
"15" 0.816666666666667 0.7 0.833333333333333
"16" 0.833333333333333 0.75 0.483333333333333
"17" 0.883333333333333 0.633333333333333 0.652725378829464
"18" 0.883333333333333 0.552306089778777 0.683333333333333
"19" 0.833333333333333 0.766666666666667 0.644357104741907
"20" 0.816666666666667 0.815154832611537 0.316666666666667
"21" 0.916666666666667 0.816666666666667 0.85
"22" 0.95 0.816666666666667 0.633333333333333
"23" 0.833333333333333 0.69456674926725 0.778249490142822
"24" 0.733333333333333 0.485359897078319 0.30125786715206
"25" 0.85 0.8 0.6
"26" 0.833333333333333 0.683333333333333 0.816666666666667
"27" 0.8 0.773136542270736 0.683333333333333
"28" 0.866666666666667 0.761512941967708 0.766666666666667
"29" 0.733333333333333 0.416666666666667 0.803354312405494
"30" 0.9 0.883333333333333 0.836827408755723
