"LIME" "CPATH" "CPATH_min"
"1" 0.880952380952381 0.833333333333333 0.642857142857143
"2" 0.785714285714286 0.928571428571429 0.833333333333333
"3" 0.80952380952381 1 0.994029797388005
"4" 0.857142857142857 0.761904761904762 0.928571428571429
"5" 0.880952380952381 0.976190476190476 0.833333333333333
"6" 0.738095238095238 0.738095238095238 0.833333333333333
"7" 0.714285714285714 0.785714285714286 0.952380952380953
"8" 0.80952380952381 0.976190476190476 0.690476190476191
"9" 0.690476190476191 0.595238095238095 0.928571428571429
"10" 0.714285714285714 0.862290908577547 0.934148484292342
"11" 0.785714285714286 0.952380952380953 0.761904761904762
"12" 0.80952380952381 0.952380952380953 0.738095238095238
"13" 0.80952380952381 0.69462323190969 0.952380952380953
"14" 0.833333333333333 0.97007727214974 0.778457070243618
"15" 0.880952380952381 0.922172221673209 0.523809523809524
"16" 0.833333333333333 0.952380952380953 0.904761904761905
"17" 0.80952380952381 0.503003030003569 0.790433332862751
"18" 0.738095238095238 0.802409595481884 0.904761904761905
"19" 0.833333333333333 0.904761904761905 0.80952380952381
"20" 0.80952380952381 0.857142857142857 0.833333333333333
"21" 0.738095238095238 0.928571428571429 0.666666666666667
"22" 0.833333333333333 0.785714285714286 0.738095238095238
"23" 0.880952380952381 0.976190476190476 0.904761904761905
"24" 0.833333333333333 0.880952380952381 0.670670706671425
"25" 0.880952380952381 0.714285714285714 0.904761904761905
"26" 0.785714285714286 0.976190476190476 0.785714285714286
"27" 0.833333333333333 0.833333333333333 0.952380952380953
"28" 0.738095238095238 0.80952380952381 0.785714285714286
"29" 0.928571428571429 0.928571428571429 0.785714285714286
"30" 0.80952380952381 0.738095238095238 0.952380952380953
