"10" "50" "100" "1000"
"1" 0 1 0.5 0.5
"2" 1 1 1 0
"3" 1 1 1 0.5
"4" 0 1 1 1
"5" 0 0.5 0 1
"6" 1 1 1 0.5
"7" 1 0 1 1
"8" 1 1 1 0.5
"9" 0 1 1 1
"10" 1 1 1 0
"11" 1 1 1 0.5
"12" 0 1 1 1
"13" 1 1 1 0.5
"14" 1 0 1 0.5
"15" 1 1 1 0.5
"16" 1 0 1 1
"17" 1 0 0.5 0.5
"18" 1 1 1 0
"19" 1 0 1 1
"20" 1 0 0 0.5
"21" 1 1 1 0
"22" 1 1 1 1
"23" 1 0 1 0
"24" 1 1 1 0.5
"25" 0 0 1 0.5
"26" 1 0 1 0.5
"27" 1 0 1 0.5
"28" 1 1 1 0.5
"29" 1 1 0 0
"30" 1 1 1 0.5
"31" 1 1 0.5 0.5
"32" 1 0 1 0.5
"33" 1 0 1 1
"34" 1 1 1 1
"35" 1 1 1 1
"36" 0 1 1 1
"37" 1 0 1 0
"38" 1 1 1 0.5
"39" 1 1 0.5 1
"40" 1 1 1 1
"41" 1 0 1 0
"42" 1 0 0 0.5
"43" 1 1 1 1
"44" 1 1 1 0
"45" 1 0 0 0.5
"46" 1 1 1 0.5
"47" 1 1 0 0.5
"48" 1 1 1 1
"49" 1 1 0 0.5
"50" 1 1 1 0.5
