"10" "50" "100" "1000"
"1" 1 0.5 0.5 0
"2" 1 0.5 0 0
"3" 1 1 0 0
"4" 0.5 0.5 1 0
"5" 0.5 1 0.5 0
"6" 1 0.5 0.5 0
"7" 1 0 0.5 0
"8" 0.5 1 0.5 0
"9" 1 1 0.5 0
"10" 1 0.5 0.5 0
"11" 1 1 0.5 0
"12" 0.5 0.5 0 0
"13" 0.5 0 0.5 0
"14" 1 0.5 0.5 0
"15" 0.5 1 0.5 0.5
"16" 1 0.5 0.5 0
"17" 1 0.5 0.5 0
"18" 1 0.5 0.5 0
"19" 0.5 1 0.5 0
"20" 0.5 0.5 0 0
"21" 1 0.5 0.5 0
"22" 1 0.5 0.5 0.5
"23" 1 0.5 0.5 0
"24" 0.5 0.5 0.5 0
"25" 0.5 0.5 0.5 0
"26" 0.5 1 0 0
"27" 0.5 0.5 0.5 0
"28" 1 0.5 1 0
"29" 1 0.5 1 0
"30" 1 0.5 1 0
"31" 0.5 1 0.5 0.5
"32" 0.5 0.5 0.5 0
"33" 1 0.5 0.5 0
"34" 0.5 0 0.5 0
"35" 0.5 0 0.5 0
"36" 0.5 1 0 0
"37" 0.5 0.5 0 0
"38" 1 0.5 0.5 0
"39" 1 0.5 0.5 0
"40" 1 1 0.5 0
"41" 1 0.5 0.5 0
"42" 0.5 0.5 1 0
"43" 1 1 0.5 0
"44" 1 0.5 0.5 0
"45" 1 0.5 0 0
"46" 1 1 0.5 0
"47" 1 0 0.5 0
"48" 1 0.5 0.5 0
"49" 1 0.5 1 0
"50" 1 0.5 1 0
