"SHAP_fast" "LIME" "CPATH" "CPATH_min"
"1" 0.988914027149321 0.988461538461539 0.98868778280543 0.990497737556561
"2" 0.996406109613657 0.996630727762803 0.997753818508536 0.997079964061096
"3" 0.998550724637681 0.997705314009662 0.996980676328502 0.997342995169082
"4" 0.985977011494253 0.987126436781609 0.98551724137931 0.984597701149425
"5" 0.995862068965517 0.994712643678161 0.993333333333333 0.993333333333333
"6" 0.99373840445269 0.992810760667904 0.992115027829313 0.990027829313544
"7" 0.996135265700483 0.996618357487923 0.995893719806763 0.996376811594203
"8" 0.990566037735849 0.993486073674753 0.994609164420485 0.993261455525607
"9" 0.989724310776942 0.985964912280702 0.988220551378446 0.986466165413534
"10" 0.999080459770115 1 0.999770114942529 1
"11" 0.998361423220974 0.998595505617977 0.998595505617977 0.998595505617977
"12" 0.998652291105121 0.998652291105121 0.998203054806828 0.997978436657682
"13" 0.988108108108108 0.988648648648649 0.986756756756757 0.987837837837838
"14" 0.993646138807429 0.994868035190616 0.994868035190616 0.993401759530792
"15" 0.99063670411985 0.988998127340824 0.993211610486891 0.988295880149813
"16" 0.990821256038647 0.990579710144928 0.991545893719807 0.992512077294686
"17" 0.995786516853933 0.996020599250936 0.995084269662921 0.995084269662921
"18" 1 0.999773755656109 1 1
"19" 0.993072736269174 0.992825333993073 0.990351311232063 0.991340920336467
"20" 0.993348115299335 0.994235033259424 0.993569844789357 0.993126385809313
"21" 0.996823069403715 0.996823069403715 0.99633431085044 0.997556207233627
"22" 0.991336069311445 0.992476060191518 0.992476060191518 0.993160054719562
"23" 0.994505494505495 0.995290423861852 0.994505494505495 0.996598639455782
"24" 0.993622448979592 0.99443413729128 0.994202226345083 0.994897959183674
"25" 1 0.999544003647971 1 0.999544003647971
"26" 0.975417439703154 0.975881261595547 0.979012059369202 0.982722634508349
"27" 0.995022624434389 0.995927601809955 0.996606334841629 0.996380090497738
"28" 0.98989218328841 0.988769092542677 0.990790655884995 0.98989218328841
"29" 0.994268077601411 0.993386243386243 0.994929453262787 0.995149911816578
"30" 0.998176014591883 0.997264021887825 0.997720018239854 0.997264021887825
