"SHAP_fast" "LIME" "CPATH" "CPATH_min"
"1" NA NA 0.97979797979798 NA
"2" NA NA 0.966604823747681 NA
"3" NA NA 0.974782608695652 NA
"4" NA NA 0.998144712430427 NA
"5" NA NA 0.936698717948718 NA
"6" NA NA 0.96969696969697 NA
"7" NA NA 0.98421926910299 NA
"8" NA NA 0.975083056478405 NA
"9" NA NA 0.974747474747475 NA
"10" NA NA 0.984817813765182 NA
"11" NA NA 0.986928104575163 NA
"12" NA NA 0.95018115942029 NA
"13" NA NA 0.985217391304348 NA
"14" NA NA 0.957307060755337 NA
"15" NA NA 0.978956228956229 NA
"16" NA NA 0.995016611295681 NA
"17" NA NA 0.993162393162393 NA
"18" NA NA 0.991428571428571 NA
"19" NA NA 0.96078431372549 NA
"20" NA NA 0.916512059369202 NA
"21" NA NA 0.952441077441077 NA
"22" NA NA 0.994354838709677 NA
"23" NA NA 0.985880398671096 NA
"24" NA NA 0.970108695652174 NA
"25" NA NA 0.964957264957265 NA
"26" NA NA 0.973098330241187 NA
"27" NA NA 0.96043771043771 NA
"28" NA NA 0.937847866419295 NA
"29" NA NA 0.991304347826087 NA
"30" NA NA 0.944444444444444 NA
