"4" "6" "8" "10" "12"
"1" 1 1 0.5 1 0.5
"2" 1 1 1 0.5 0.5
"3" 1 0.5 0.5 0.5 1
"4" 1 0.5 1 0.5 1
"5" 1 1 0.5 0.5 0.5
"6" 1 1 1 1 1
"7" 1 1 1 0.5 0.5
"8" 1 1 0.5 1 1
"9" 1 1 0.5 0.5 0.5
"10" 1 0.5 0.5 0.5 0.5
"11" 1 1 0.5 0.5 0.5
"12" 1 0.5 0.5 0.5 1
"13" 1 0.5 1 1 1
"14" 1 1 0.5 0.5 1
"15" 1 1 1 1 1
"16" 1 1 1 0.5 1
"17" 1 1 1 0.5 0.5
"18" 1 1 1 0.5 1
"19" 1 1 1 0.5 0.5
"20" 1 1 0.5 1 1
"21" 1 1 0.5 1 0.5
"22" 1 1 1 1 0.5
"23" 1 1 1 1 0.5
"24" 1 0.5 1 1 1
"25" 1 0.5 1 0.5 1
"26" 0.5 1 1 0.5 1
"27" 1 0.5 1 0.5 1
"28" 1 1 1 1 0.5
"29" 1 1 1 1 1
"30" 1 1 1 0.5 0.5
"31" 1 1 0.5 0.5 1
"32" 1 1 1 1 0.5
"33" 1 1 1 1 1
"34" 1 1 0.5 0.5 0.5
"35" 0.5 1 1 1 1
"36" 1 1 0.5 0.5 0.5
"37" 1 0.5 1 1 0.5
"38" 1 0.5 1 1 0.5
"39" 1 1 1 0.5 1
"40" 1 1 1 1 1
"41" 1 0.5 1 0.5 1
"42" 1 1 0.5 1 0.5
"43" 1 1 1 0.5 1
"44" 1 1 1 1 1
"45" 1 1 1 0.5 0.5
"46" 1 1 0.5 0.5 0.5
"47" 0.5 1 1 1 0.5
"48" 1 1 0.5 0.5 0.5
"49" 1 1 1 0.5 0.5
"50" 0.5 1 0.5 1 1
