"spearman" "pearson" "kendall"
"1" 1 0.937022874771038 1
"2" 1 0.989299905030544 1
"3" 1 0.985504104342629 1
"4" 0.948683298050514 0.951497642094709 0.912870929175277
"5" 1 0.959120252788693 1
"6" 0.8 0.976229323484695 0.666666666666667
"7" 1 0.990920576989752 1
"8" 1 0.95175775394751 1
"9" 1 0.999837499117059 1
"10" 0.8 0.950572284556797 0.666666666666667
"11" 1 0.993981707188974 1
"12" 0.8 0.996370794157503 0.666666666666667
"13" 1 0.98083248297902 1
"14" 0.8 0.955242913775869 0.666666666666667
"15" 1 0.993520891058098 1
"16" 0.8 0.992795317753193 0.666666666666667
"17" 0.4 0.9917944836459 0.333333333333333
"18" 0.8 0.998632828585627 0.666666666666667
"19" 0.8 0.965519999671764 0.666666666666667
"20" 1 0.896411232054817 1
"21" 1 0.977328130748766 1
"22" 0.2 0.969854400869849 0
"23" 0.4 0.948811065104814 0.333333333333333
"24" 1 0.992198923851682 1
"25" 0.8 0.94603404890136 0.666666666666667
"26" 0.8 0.975807889070981 0.666666666666667
"27" 1 0.968473367236082 1
"28" 1 0.998017597562587 1
"29" 0.8 0.951090213562883 0.666666666666667
"30" 1 0.981928290775794 1
