"spearman" "pearson" "kendall"
"1" 0.8 0.937915071076201 0.666666666666667
"2" 0.8 0.979310318164946 0.666666666666667
"3" 0.2 0.244491721386636 0
"4" 0.8 0.998475134330248 0.666666666666667
"5" 0.8 0.969224366374161 0.666666666666667
"6" 1 0.972083346394242 1
"7" 0.8 0.94767248786019 0.666666666666667
"8" 0.8 0.690952261351182 0.666666666666667
"9" 1 0.992015247170415 1
"10" 0.6 0.732265774075975 0.333333333333333
"11" 0.4 0.749799035956166 0.333333333333333
"12" 0.8 0.962703952558273 0.666666666666667
"13" 0.8 0.518577947142947 0.666666666666667
"14" -0.8 -0.439578629870555 -0.666666666666667
"15" 0.8 0.987323056607653 0.666666666666667
"16" -0.2 0.128692301303255 0
"17" 0.6 0.771111753399325 0.333333333333333
"18" -0.8 -0.712134874188003 -0.666666666666667
"19" -0.2 -0.0150406657672149 0
"20" 0.8 0.923609319507201 0.666666666666667
"21" 0.948683298050514 0.851627269057182 0.912870929175277
"22" 1 0.996775267339204 1
"23" 1 0.803429888264503 1
"24" 1 0.992484272086095 1
"25" 1 0.960765792328854 1
"26" 0.8 0.904282548720557 0.666666666666667
"27" 0.8 0.955766305902003 0.666666666666667
"28" 0.6 0.505154611175302 0.333333333333333
"29" 1 0.934149425132882 1
"30" 0.8 0.492588327458513 0.666666666666667
